89, ,Ledvinka,Karel, ,18/04/1941,M,,
90,Ing.,Litomiský,Jan, ,19/08/1943,M,,
91,RNDr.,Lobkowicz,Michal, ,20/07/1964,M,08/09/1999,
92,Mgr. art.,Lojdová,Kateřina, ,02/03/1961,Ž,,
93, ,Loukota,Milan, ,18/06/1960,M,,
94,Mgr.,Lukáš,Věnceslav, ,06/02/1943,M,,
95,Ing.,Mach,Karel, ,17/06/1960,M,,
96,Doc. PhDr.,Machalík,Jiří,CSc.,19/06/1945,M,,
97,Ing.,Macháček,Jiří, ,27/08/1958,M,,
98,Ing.,Mandelík,Richard, ,17/04/1953,M,,
99,Ing.,Mandík,Josef, ,04/12/1945,M,08/12/1998,
100,JUDr.,Marvanová,Hana, ,26/11/1962,Ž,,
101,Ing.,Maryt,Jiří, ,13/02/1964,M,,
102,Ing.,Mašek,Ivan, ,28/07/1948,M,,
103, ,Matějka,Jaroslav, ,17/12/1940,M,,
104, ,Matoušková,Eva, ,15/11/1951,Ž,,
105,JUDr.,Matulka,Dalibor, ,12/07/1953,M,08/12/1998,
106, ,Mazalová,Gerta, ,10/02/1945,Ž,,
107, ,Melichar,Jaroslav, ,12/02/1938,M,08/12/1998,
108,Ing.,Motyčka,Ludvík, ,07/07/1932,M,,
109,JUDr.,Navrátil,Jan, ,01/12/1955,M,,
110,Mgr.,Nájemník,Václav, ,03/07/1944,M,08/12/1998,
111,RNDr.,Nečas,Petr, ,19/11/1964,M,08/12/1998,
112,Ing.,Nedorost,Ladislav, ,28/10/1964,M,,
113,PhDr.,Němčík,Jindřich, ,11/07/1949,M,,
114,Ing.,Němec,Luboš, ,09/03/1951,M,,
115,MUDr.,Novák,Jaroslav, ,18/12/1935,M,,
116,JUDr.,Novák,Jiří, ,11/04/1950,M,,
117,Ing.,Novák,Libor, ,02/03/1958,M,,
118,JUDr.,Novák,Libor, ,06/12/1962,M,,
119,MUDr.,Nováková,Eva, ,18/01/1938,Ž,,
120, ,Novotný,Miroslav, ,29/03/1947,M,,
121,Ing.,Opatřil,Rudolf, ,15/08/1959,M,,
122,Ing.,Orgoníková,Hana, ,08/12/1946,Ž,08/12/1998,05/06/2014
123,JUDr.,Ortman,Jaroslav,CSc.,29/09/1952,M,,
124,Ing.,Palas,Jaroslav, ,02/10/1952,M,08/12/1998,
125,Ing.,Pavela,Josef, ,25/06/1933,M,,
126,PhDr.,Pavlíková,Jiřina, ,15/02/1953,Ž,,
127,RNDr.,Payne,Jiří, ,07/07/1956,M,18/05/1999,
128,RNDr.,Páv,Tomáš, ,22/09/1937,M,,
129,Ing.,Pešek,Pavel, ,31/03/1964,M,08/12/1998,
130,JUDr. Ing.,Petržílek,Pavel, ,23/12/1939,M,,
131,Mgr.,Pěnička,Stanislav, ,05/10/1939,M,,
132,MUDr.,Pluhař,František, ,11/02/1937,M,,
133,Ing.,Procházka,Vladimír,CSc.,29/05/1936,M,,
134,PhDr.,Přibáň,Martin, ,28/11/1958,M,,
135,Ing.,Raška,Miroslav, ,13/05/1958,M,,
136,RSDr. Ing.,Recman,Svatomír, ,29/12/1952,M,08/12/1998,
137,MUDr.,Rubáš,Luděk, ,16/07/1953,M,,
138,MUDr.,Rymeš,Ladislav, ,27/07/1946,M,,
139,JUDr.,Röschová,Anna, ,26/05/1951,Ž,,
140,JUDr.,Řezáč,Vladimír, ,08/03/1948,M,,29/04/1996
141,PhDr.,Řezníček,Miroslav, ,22/03/1942,M,,
142,Mgr.,Seifer,Pavel, ,11/09/1943,M,,
143,Bc.,Severa,Pavel, ,06/05/1965,M,08/12/1998,
144,Ing.,Skočovský,Miloš,CSc.,31/05/1937,M,,
145,,Sochor,Antonín,,01/01/1955,M,,
146,Ing.,Sochor,Vítězslav, ,17/10/1931,M,,
147,Ing.,Sojka,Tomáš, ,15/11/1948,M,,
148,PaedDr.,Soural,Jaroslav,CSc.,02/04/1953,M,,
149,MUDr.,Stadler,Jiří, ,09/07/1932,M,,
150,Doc. RNDr.,Stiborová,Marie,CSc.,02/02/1950,Ž,,
151,JUDr.,Stodůlka,Zbyšek, ,19/06/1947,M,,
152,PhDr.,Stráský,Jan, ,24/12/1940,M,,
153, ,Svoboda,Tomáš, ,20/05/1966,M,,
154,MUDr.,Syka,Martin, ,19/03/1949,M,,
155,Ing.,Sýkora,Jaroslav, ,13/04/1932,M,,
156,Ing.,Šafařík,Pavel, ,05/09/1953,M,08/12/1998,
157,Mgr.,Šimánek,Jaromír, ,05/01/1959,M,,
158,RNDr.,Šoler,Jiří,CSc.,20/04/1947,M,,
159,RNDr.,Špaček,Radim, ,25/12/1959,M,,
160,MUDr.,Štambera,Dalibor, ,01/05/1960,M,,
161,Ing.,Štěrba,Tomáš, ,29/12/1946,M,,
162,Doc. RSDr.,Štrait,Jaroslav,CSc.,29/07/1942,M,08/12/1998,
163,Ing.,Šuman,Vladimír, ,17/10/1936,M,,
164,Ing.,Tlustý,Vlastimil,CSc.,19/09/1955,M,09/12/1998,
165,Ing.,Tollner,Pavel, ,10/03/1949,M,09/12/1998,
166,PaedDr.,Tomanová,Hana, ,18/01/1937,Ž,,
167,Prof. Ing.,Trnka,František,CSc.,19/03/1931,M,,
168,PhDr.,Trojan,Václav, ,12/05/1954,M,,
169,Doc. Ing.,Trojan,Zdeněk,CSc.,01/05/1936,M,,
170,Ing.,Třebický,Jan, ,09/12/1943,M,,
171,PhDr.,Uhde,Milan, ,28/07/1936,M,,
172,Ing.arch.,Ullmann,Josef, ,27/03/1944,M,,
173, ,Unger,Jaroslav, ,28/12/1959,M,,
174,Ing.,Uřičář,Jiří, ,25/08/1948,M,,
175,Ing.,Vačkář,Jiří, ,16/02/1944,M,,
176, ,Valach,Vítězslav, ,26/04/1958,M,,
177, ,Valenta,Josef, ,05/06/1951,M,,
178, ,Váca,Oldřich, ,18/10/1952,M,,
179, ,Váchalová,Anna, ,13/01/1932,Ž,,
180, ,Vik,Jan, ,07/04/1969,M,,
181,PhDr.,Vlach,Jiří, ,29/12/1952,M,09/12/1998,
182,RNDr.,Vlček,Jaroslav, ,18/09/1952,M,,
