1,Z·kon,
2,Mezin·rodnÌ smlouva,
3,Mezin·rodnÌ dohoda,
4,Vyhl·öka,
5,Na¯ÌzenÌ,
6,N·lez,
7,SdÏlenÌ,
8,⁄stava,
9,SmÏrnice,
10,Opat¯enÌ,
11,RozhodnutÌ,
12,UsnesenÌ,
13,Ozn·menÌ,
14,⁄stavnÌ z·kon,
15,⁄plnÈ znÏnÌ,
40,Oprava,
41,RedakËnÌ sdÏlenÌ,
42,Z·konnÈ opat¯enÌ,
50,CÌsa¯sk˝ patent,
51,Dekret,
52,Z·konnÈ opat¯enÌ,
