51,0,2,31,2,0
79,0,,0,2,0
80,0,499,31,2,0
136,0,6516,31,2,0
188,0,10263,31,2,0
189,0,691,31,2,0
206,0,,0,2,0
490,0,2,31,2,0
520,0,295,31,2,0
520,0,8509,31,2,0
898,0,2,31,2,0
912,0,478,31,2,0
912,0,480,31,2,0
949,0,11142,31,2,0
951,0,168,31,2,0
988,0,2,31,2,0
989,0,216,31,2,0
1027,0,6762,31,2,0
1027,0,6516,31,2,0
1027,0,12146,31,2,0
1027,0,11998,31,2,0
1027,0,11826,31,2,0
1222,0,2,31,2,0
1223,0,11142,31,2,0
1223,0,216,31,2,0
1223,0,454,31,2,0
1251,0,326,31,2,0
1423,0,407,31,2,0
1423,0,12705,31,2,0
1423,0,225,31,2,0
1465,0,16078,31,2,0
1508,0,474,31,2,0
1552,0,253,31,2,0
1552,0,827,31,2,0
1662,0,16086,31,2,0
1662,0,481,31,2,0
1690,0,2,31,2,0
1691,0,11142,31,2,0
1691,0,216,31,2,0
1691,0,454,31,2,0
1691,0,67,31,2,0
1730,0,12362,31,2,0
1741,0,827,31,2,0
1978,0,11144,31,2,0
1978,0,16904,31,2,0
2091,0,,0,2,0
2115,0,7293,31,2,0
2118,0,6516,31,2,0
2141,0,12026,31,2,0
2141,0,12027,31,2,0
2141,0,12641,31,2,0
2141,0,216,31,2,0
2326,0,2,31,2,0
2328,0,,0,2,0
2330,0,6517,31,2,0
2390,0,454,31,2,0
2443,0,17319,31,2,0
2443,0,12026,31,2,0
2443,0,12027,31,2,0
2443,0,16463,31,2,0
2443,0,568,31,2,0
2443,0,529,31,2,0
2469,0,454,31,2,0
2542,0,645,31,2,0
2547,0,16905,31,2,0
2683,0,12167,31,2,0
2683,0,12092,31,2,0
2683,0,16904,31,2,0
2687,0,16826,31,2,0
2687,0,18781,31,2,0
2696,0,12167,31,2,0
2696,0,12092,31,2,0
2696,0,16904,31,2,0
2747,0,16086,31,2,0
2816,0,16702,31,2,0
2853,0,573,31,2,0
